<<<<<<< HEAD
tweet_id	text	hashtags	mentions	urls	created_at	user_id	screen_name
1181714695545348096	"@Ballsy_62 My own opinion is that the ""Many"" are focused on striking it rich while the ""Few"" are focused on risk management."		Ballsy_62		2019-10-08 23:35:13+00:00	247857712	PeterLBrandt
1181713453226057729	"A secondary function of the markets (Richard Dennis supposedly has said the ""primary function"") is to redistribute wealth from the many to the few. This is true for ALL markets over an extended time frame."				2019-10-08 23:30:17+00:00	247857712	PeterLBrandt
1181712818300751873	"A Premium #Factormembers post was issued ""Factor Interim Update, October 8, 2019"".   Please see here https://t.co/j3txUnBjJf for more details."	Factormembers		https://www.peterlbrandt.com/premium-reports/	2019-10-08 23:27:45+00:00	247857712	PeterLBrandt
1181601125306376195	Charting test questions:Chart construction constantly morphs, but as of right now, please answer two questions below:1. What pattern is forming on 4-hour chart?2. What is default expectation of such a pattern? https://t.co/2ZEWLtovDE				2019-10-08 16:03:56+00:00	247857712	PeterLBrandt
1181335815160549376	@JacobCanfield Tells me insanity is alive and well		JacobCanfield		2019-10-07 22:29:41+00:00	247857712	PeterLBrandt
1181287771320786949	Waiting to hear from my old buddy @ppearlman		ppearlman		2019-10-07 19:18:46+00:00	247857712	PeterLBrandt
1181252267158245378	Bottoming construction in $ETHBTC $ETH https://t.co/zbi0slEQzR				2019-10-07 16:57:41+00:00	247857712	PeterLBrandt
1181020511842787330	"@ORGANICASTRONA1 @ABCSharkTank @CircadianOptics Goes to show how I have been able to be profitable for 45 years taking the other side of trades made by U.S. ""traders"""		ORGANICASTRONA1|ABCSharkTank|CircadianOptics		2019-10-07 01:36:46+00:00	247857712	PeterLBrandt
1181014146000621569	@pollo_2x @ABCSharkTank @CircadianOptics Actually I would not hesitate to buy as many shares as possible at Shark Tank evaluation		pollo_2x|ABCSharkTank|CircadianOptics		2019-10-07 01:11:29+00:00	247857712	PeterLBrandt
1181013763845001216	@Master_Charts @ABCSharkTank @CircadianOptics As a trader with periodic crazy hours it resets my internal clock		Master_Charts|ABCSharkTank|CircadianOptics		2019-10-07 01:09:58+00:00	247857712	PeterLBrandt
1181008570072088576	Amber Leong, a good family friend, is on @ABCSharkTank  tonight for her fantastic lamps from @CircadianOptics my official lighting source at the office or when traveling. Circadian lighting is a MUST for traders with irregular hours. Order yours at https://t.co/VkunWbVm0U https://t.co/guJr5xzBWd		ABCSharkTank|CircadianOptics	http://bit.ly/2ZgZth2	2019-10-07 00:49:19+00:00	247857712	PeterLBrandt
1180847319744421888	@Kumeran1618 @SJosephBurns Thank you Kumeran		Kumeran1618|SJosephBurns		2019-10-06 14:08:34+00:00	247857712	PeterLBrandt
1180847239092166656	@richytee @SJosephBurns Thank you Richard		richytee|SJosephBurns		2019-10-06 14:08:15+00:00	247857712	PeterLBrandt
1180654368841961472	@derper26175526 Risk manager		derper26175526		2019-10-06 01:21:51+00:00	247857712	PeterLBrandt
1180654304576839681	@AmineRadhouane I am a far better risk manager than trader or analyst		AmineRadhouane		2019-10-06 01:21:36+00:00	247857712	PeterLBrandt
1180654088201084928	@cryptotothemoon You are way ahead of the curve. It took me five years to become competent at trading and a lifetime to develop risk management skills.		cryptotothemoon		2019-10-06 01:20:44+00:00	247857712	PeterLBrandt
1180653804431253510	@1CryptoMessiah How deeply we trade into the massive up gap remains to be seen.		1CryptoMessiah		2019-10-06 01:19:37+00:00	247857712	PeterLBrandt
